NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT,START_GRAD,END_GRADE,FULL_TIME_
BB121571,HEBREW ACADEMY FOR SPECIAL,5902 14TH AVE # A,BROOKLYN,NY,11219,NOT AVAILABLE,4,1,592,KINGS,36047,US,40.62819,-73.996129,520,PK,PK,72
BB121591,YESHIVA TIFERES ELIMELECH,4407 12TH AVE,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,157,KINGS,36047,US,40.638837,-73.991438,151,08,12,6
BB121609,EDUCATIONAL INST OHOLEI TORAH,427 KINGSTON AVE,BROOKLYN,NY,11225,NOT AVAILABLE,6,1,12,KINGS,36047,US,40.664398,-73.942775,11,KG,KG,1
BB121611,MARY BOB LEARNING ACADEMY,1187 NORSTRAND AVE,BROOKLYN,NY,11225,NOT AVAILABLE,1,1,51,KINGS,36047,US,40.657747,-73.950111,43,PK,03,8
BB121614,GET SET KINDERGARTEN,1919 CORTELYOU RD,BROOKLYN,NY,11226,NOT AVAILABLE,1,1,159,KINGS,36047,US,40.643282,-73.960364,132,PK,05,27
BB121617,HAOR BEACON SCHOOL,2884 NOSTRAND AVE,BROOKLYN,NY,11229,NOT AVAILABLE,4,1,48,KINGS,36047,US,40.614018,-73.944642,40,KG,08,8
BB121621,YESHIVA STERET TECH GIRLS HIGH SCHOOL,2166 CONEY ISLAND AVE,BROOKLYN,NY,11238,NOT AVAILABLE,1,1,225,KINGS,36047,US,40.60409,-73.962088,193,08,12,32
BB121623,BAIS YAAKOV OZ VEHODOR,1430 LOCUST AVE,BROOKLYN,NY,11230,NOT AVAILABLE,1,1,75,KINGS,36047,US,40.619036,-73.960427,73,08,11,2
BB121670,BETH CHANA SCHOOL,620 BEDFORD AVE,BROOKLYN,NY,11249,NOT AVAILABLE,1,1,306,KINGS,36047,US,40.70274,-73.959849,280,PK,12,26
BB121671,JEWISH CENTER FOR SPECIAL EDUC,1760 53RD ST,BROOKLYN,NY,11204,NOT AVAILABLE,4,1,60,KINGS,36047,US,40.626285,-73.983918,40,TK,T1,20
BB121674,QUEENS PAIDEIA SCHOOL,4402 23RD ST,LONG ISLAND CITY,NY,11101,NOT AVAILABLE,1,1,22,QUEENS,36081,US,40.74899,-73.944757,17,UG,UG,5
BB121683,ASSEMBLIES OF GOD KOREAN NY,13030 31ST AVE,FLUSHING,NY,11354,NOT AVAILABLE,1,1,137,QUEENS,36081,US,40.770232,-73.839278,128,PK,08,9
BB121726,LITTLE SCHOLARS ON FARMERS,11725 FARMERS BLVD,SAINT ALBANS,NY,11412,NOT AVAILABLE,7,1,3,QUEENS,36081,US,40.690752,-73.762049,1,PK,KG,2
BB121733,LAURELTON ACADEMY,14125 224TH ST,SPRINGFIELD GARDENS,NY,11413,NOT AVAILABLE,7,1,14,QUEENS,36081,US,40.669119,-73.751317,13,PK,KG,1
BB121736,AVE MARIA CATHOLIC ACADEMY,15820 101ST ST,HOWARD BEACH,NY,11414,NOT AVAILABLE,1,1,172,QUEENS,36081,US,40.661167,-73.832987,162,PK,08,10
BB121753,THE NURTURING CENTER,11218 SPRINGFIELD BLVD,QUEENS VILLAGE,NY,11429,NOT AVAILABLE,1,1,40,QUEENS,36081,US,40.714198,-73.735369,35,PK,03,5
BB121759,UNITED NATIONS INTL SCHOOL,17353 CROYDON RD,JAMAICA,NY,11432,NOT AVAILABLE,1,1,207,QUEENS,36081,US,40.717417,-73.79009,184,KG,08,23
BB121760,LITTLE ANGELS DAY CARE CENTER,15501 107TH AVE,JAMAICA,NY,11433,NOT AVAILABLE,7,1,4,QUEENS,36081,US,40.695946,-73.798239,3,PK,KG,1
BB121761,AUNTY JEANS DAY SCHOOL,11817 GUY R BREWER BLVD,JAMAICA,NY,11434,NOT AVAILABLE,7,1,23,QUEENS,36081,US,40.68347,-73.782159,21,PK,KG,2
BB121767,ST CHRISTOPHER-OTTILIE,8570 148TH ST,JAMAICA,NY,11435,NOT AVAILABLE,4,1,72,QUEENS,36081,US,40.70882,-73.811284,58,UG,UG,14
BB121771,CHOCHMA REISHIS,1513 CENTRAL AVE,FAR ROCKAWAY,NY,11691,NOT AVAILABLE,1,1,265,QUEENS,36081,US,40.60535,-73.751469,247,PK,08,18
BB121798,SACRED HEART SCHOOL,456 W 52ND AT 10TH AVE,NEW YORK,NY,10019,NOT AVAILABLE,1,1,173,NEW YORK,36061,US,40.76556,-73.990273,163,PK,08,10
BB121817,WASHINGTON HEIGHTS HELLENIC,120 WADSWORTH AVE,NEW YORK,NY,10033,NOT AVAILABLE,1,1,83,NEW YORK,36061,US,40.849346,-73.935597,73,PK,08,10
